seed,initialization_strategy,architecture,depth,target,topology,operator_family,training_rmse,heldout_rmse,best_loss,hardened_expression,tree_signature,structural_match,failure_type,nan_restarts,wall_seconds
137,uniform,eq6,4,d4_T4,RR,EML,5.040250e-01,5.784916e-01,0.0006008619181599996,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, 1, f, 1, x, 1, x, f, x |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, 1, x, x, 1, x, x, y","internal=[1, f, 1, f, f, f, 1, f, 1, x, 1, x, f, x] leaves=[1, x, x, 1, x, 1, 1, x, 1, 1, x, x, 1, x, x, y]",no,training_failure,0,19.4
138,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.0002749364319533944,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, x, f, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, x, 1, y, y, y","internal=[1, f, x, f, f, f, 1, x, f, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, x, 1, y, y, y]",no,training_failure,0,23.25
139,uniform,eq6,4,d4_T4,RR,EML,2.120693e+05,6.733546e+00,0.0002787391646020706,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, x, x, f, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, 1, y, 1, y, x, y, 1, y","internal=[1, f, 1, f, f, f, x, x, f, x, f, 1, f, f] leaves=[1, x, x, 1, x, 1, 1, y, 1, y, 1, y, x, y, 1, y]",no,training_failure,0,24.92
140,uniform,eq6,4,d4_T4,RR,EML,7.452755e-02,1.471912e-01,0.0004534694562730414,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, 1, f, 1, x, 1, 1, 1, f, f, f |   Leaf routing:     1, x, x, y, x, 1, 1, x, 1, y, 1, x, 1, x, x, 1","internal=[1, f, 1, f, 1, f, 1, x, 1, 1, 1, f, f, f] leaves=[1, x, x, y, x, 1, 1, x, 1, y, 1, x, 1, x, x, 1]",no,hardening_failure,0,22.59
141,uniform,eq6,4,d4_T4,RR,EML,9.999983e+05,9.930592e+05,999996691201.9861,"EML Master Formula (depth=4, params=90) |   Internal routing: f, x, f, x, f, 1, f, f, 1, x, f, 1, f, x |   Leaf routing:     y, x, y, y, 1, 1, 1, x, 1, y, 1, y, y, 1, 1, y","internal=[f, x, f, x, f, 1, f, f, 1, x, f, 1, f, x] leaves=[y, x, y, y, 1, 1, 1, x, 1, y, 1, y, y, 1, 1, y]",no,training_failure,0,23.71
142,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,6.699814e+00,0.00035976924113356046,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, f, f, x, x, 1, 1, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, 1, y, 1, y, 1, y, x, y","internal=[1, f, 1, f, f, f, x, x, 1, 1, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, 1, y, 1, y, 1, y, x, y]",no,training_failure,0,22.42
143,uniform,eq6,4,d4_T4,RR,EML,8.771036e-01,8.327756e-01,0.00035413412696219096,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, 1, f, 1, x, 1, x, 1, f, f, f |   Leaf routing:     1, x, 1, y, 1, y, 1, x, x, y, x, x, 1, x, x, 1","internal=[1, f, 1, f, 1, f, 1, x, 1, x, 1, f, f, f] leaves=[1, x, 1, y, 1, y, 1, x, x, y, x, x, 1, x, x, 1]",no,training_failure,0,21.2
144,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.238451e+00,0.0003623918711075269,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, x, f, f, 1, x, 1, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, 1, y, 1, y, 1, y, x, x","internal=[1, f, 1, x, f, f, 1, x, 1, x, f, 1, f, f] leaves=[1, x, x, 1, x, 1, 1, y, 1, y, 1, y, 1, y, x, x]",no,training_failure,0,22.99
145,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,5.094819e+00,0.0003166612830979455,"EML Master Formula (depth=4, params=90) |   Internal routing: f, f, 1, x, 1, f, x, x, 1, x, f, 1, f, f |   Leaf routing:     1, x, x, 1, 1, 1, 1, y, 1, y, 1, y, 1, y, x, x","internal=[f, f, 1, x, 1, f, x, x, 1, x, f, 1, f, f] leaves=[1, x, x, 1, 1, 1, 1, y, 1, y, 1, y, 1, y, x, x]",no,training_failure,0,22.79
146,uniform,eq6,4,d4_T4,RR,EML,7.297027e-01,7.435839e-01,0.00042382413095880863,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, f, f, 1, x, 1, x, 1, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, 1, y, x, x, 1, x, y, y","internal=[1, f, x, f, f, f, 1, x, 1, x, 1, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, 1, y, x, x, 1, x, y, y]",no,training_failure,0,22.98
147,uniform,eq6,4,d4_T4,RR,EML,2.357018e+05,1.701091e+00,0.0004673932237012398,"EML Master Formula (depth=4, params=90) |   Internal routing: f, f, 1, f, f, f, 1, x, 1, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, y","internal=[f, f, 1, f, f, f, 1, x, 1, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, y]",no,training_failure,0,20.79
148,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.836125e+00,0.0004160532564502128,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, 1, 1, f, f, f, 1, f, 1, 1, f, x, f, f |   Leaf routing:     1, 1, x, 1, x, 1, 1, x, 1, y, 1, y, 1, y, x, y","internal=[1, 1, 1, f, f, f, 1, f, 1, 1, f, x, f, f] leaves=[1, 1, x, 1, x, 1, 1, x, 1, y, 1, y, 1, y, x, y]",no,training_failure,0,22.17
149,uniform,eq6,4,d4_T4,RR,EML,8.771036e-01,8.327756e-01,0.00038244150662254596,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, 1, f, 1, f, 1, x, 1, x, 1, f, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, 1","internal=[1, f, 1, f, 1, f, 1, x, 1, x, 1, f, f, f] leaves=[1, x, x, 1, x, 1, 1, x, 1, y, 1, x, 1, x, x, 1]",no,training_failure,0,21.12
150,uniform,eq6,4,d4_T4,RR,EML,5.143435e+04,1.254413e+00,0.0002398758231015145,"EML Master Formula (depth=4, params=90) |   Internal routing: 1, f, x, f, 1, f, 1, 1, f, x, f, x, f, f |   Leaf routing:     1, x, x, 1, x, 1, 1, y, x, y, 1, y, 1, y, y, y","internal=[1, f, x, f, 1, f, 1, 1, f, x, f, x, f, f] leaves=[1, x, x, 1, x, 1, 1, y, x, y, 1, y, 1, y, y, y]",no,training_failure,0,23.36
